category,check_name,value,expected,status,notes
Dashboard Views,vw_dashboard_recruitment_funnel row count,8,> 0,PASS,Dashboard view should return data
Dashboard Views,vw_dashboard_application_status row count,4,> 0,PASS,Dashboard view should return data
Dashboard Views,vw_dashboard_job_performance row count,1000,> 0,PASS,Dashboard view should return data
Dashboard Views,vw_dashboard_job_aging row count,1000,> 0,PASS,Dashboard view should return data
Dashboard Views,vw_dashboard_recruiter_performance row count,8,> 0,PASS,Dashboard view should return data
Dashboard Views,vw_dashboard_time_trends row count,20,> 0,PASS,Dashboard view should return data
Dashboard Views,vw_dashboard_salary_analysis row count,568,> 0,PASS,Dashboard view should return data
Dashboard Views,vw_dashboard_placement_analysis row count,286,> 0,PASS,Dashboard view should return data
Dashboard Views,vw_dashboard_candidate_analysis row count,10000,> 0,PASS,Dashboard view should return data
Dashboard Views,vw_dashboard_client_analysis row count,13,> 0,PASS,Dashboard view should return data
Dashboard Views,vw_dashboard_executive_job_summary row count,1000,> 0,PASS,Dashboard view should return data
Dashboard Views,vw_dashboard_master row count,1000,> 0,PASS,Dashboard view should return data
Dashboard Views,Negative job ages,0,0,PASS,Job age uses synthetic snapshot date 2026-12-31
Dashboard Views,Negative candidate ages,0,0,PASS,Candidate age uses synthetic snapshot date 2026-12-31
Dashboard Views,Invalid funnel percentages,0,0,PASS,
Dashboard Views,Invalid recruiter hire rates,0,0,PASS,
Dashboard Views,Invalid recruiter placement rates,0,0,PASS,
