"placement_id","offer_id","candidate_id","job_id","placement_date","joining_date","placement_status","department","designation","job_code","job_title","job_status","department_id","end_client_id","vendor_id","location_id","assigned_recruiter_id","offer_date","offered_salary","offer_status","days_to_placement","days_from_placement_to_joining","placement_outcome"
263,33,1276,912,2026-09-11,2026-09-25,Completed Guarantee Period,Data & Analytics,ML Engineer,JOB-2026-00912,ML Engineer,Open,2,9,13,7,2,2026-09-10,105000.00,Accepted,43,14,SUCCESSFUL
262,342,6667,509,2026-09-10,2026-10-11,Completed Guarantee Period,Information Technology,Data Scientist,JOB-2026-00509,Data Scientist,Open,6,6,13,4,4,2026-09-04,111000.00,Accepted,42,31,SUCCESSFUL
210,226,2280,511,2026-09-09,2026-10-24,Active,Technology,Business Analyst,JOB-2026-00511,Business Analyst,Open,7,7,14,21,1,2026-09-03,116000.00,Accepted,40,45,SUCCESSFUL
267,207,9604,218,2026-09-09,,Fell Through,Data & Analytics,Senior Data Analyst,JOB-2026-00218,Senior Data Analyst,Open,2,9,14,12,2,2026-09-06,128000.00,Accepted,46,,UNSUCCESSFUL
41,390,5344,416,2026-09-09,2026-09-27,Active,Technology,AI Engineer,JOB-2026-00416,AI Engineer,Closed,7,21,16,16,3,2026-09-06,111000.00,Accepted,48,18,SUCCESSFUL
21,403,8014,242,2026-09-09,2026-10-05,Completed Guarantee Period,Information Technology,DevOps Engineer,JOB-2026-00242,DevOps Engineer,Closed,6,22,14,8,3,2026-09-02,159000.00,Accepted,55,26,SUCCESSFUL
200,17,7948,763,2026-09-08,2026-10-31,Active,Technology,AI Engineer,JOB-2026-00763,AI Engineer,Filled,7,21,17,11,4,2026-09-04,159000.00,Accepted,38,53,SUCCESSFUL
53,439,4190,755,2026-09-08,,Fell Through,Technology,AI Engineer,JOB-2026-00755,AI Engineer,Open,7,3,17,4,1,2026-09-01,114000.00,Accepted,39,,UNSUCCESSFUL
236,51,3079,138,2026-09-08,2026-10-30,Active,Technology,Full Stack Developer,JOB-2026-00138,Full Stack Developer,Filled,7,5,17,7,1,2026-09-05,125000.00,Accepted,40,52,SUCCESSFUL
93,511,2856,921,2026-09-08,2026-11-02,Active,Data & Analytics,Data Analyst,JOB-2026-00921,Data Analyst,Open,2,22,14,21,1,2026-09-05,137000.00,Accepted,40,55,SUCCESSFUL
181,176,2332,803,2026-09-08,2026-10-15,Active,Data & Analytics,Java Developer,JOB-2026-00803,Java Developer,Filled,2,8,13,6,2,2026-09-05,174000.00,Accepted,40,37,SUCCESSFUL
120,475,8278,555,2026-09-07,2026-09-29,Completed Guarantee Period,Data & Analytics,Senior Java Developer,JOB-2026-00555,Senior Java Developer,Open,2,7,16,1,3,2026-09-05,76000.00,Accepted,41,22,SUCCESSFUL
211,467,352,864,2026-09-07,2026-10-31,Active,Technology,Data Scientist,JOB-2026-00864,Data Scientist,Filled,7,4,16,21,3,2026-09-03,185000.00,Accepted,41,54,SUCCESSFUL
167,464,7882,699,2026-09-07,2026-09-30,Active,Information Technology,Data Scientist,JOB-2026-00699,Data Scientist,Open,6,2,11,20,2,2026-08-31,91000.00,Accepted,42,23,SUCCESSFUL
24,408,9677,830,2026-09-07,2026-10-02,Active,Information Technology,Senior Java Developer,JOB-2026-00830,Senior Java Developer,Filled,6,1,12,14,3,2026-09-04,141000.00,Accepted,42,25,SUCCESSFUL
221,459,5864,535,2026-09-06,2026-10-05,Active,Data & Analytics,Full Stack Developer,JOB-2026-00535,Full Stack Developer,Filled,2,8,15,6,4,2026-08-30,184000.00,Accepted,46,29,SUCCESSFUL
110,547,2037,823,2026-09-05,,Fell Through,Information Technology,Senior Java Developer,JOB-2026-00823,Senior Java Developer,Filled,6,9,14,4,3,2026-09-02,158000.00,Accepted,35,,UNSUCCESSFUL
36,133,47,301,2026-09-05,2026-10-26,Active,Information Technology,AI Engineer,JOB-2026-00301,AI Engineer,Open,6,23,16,16,2,2026-09-03,115000.00,Accepted,37,51,SUCCESSFUL
261,254,9474,350,2026-09-04,2026-09-28,Active,Information Technology,DevOps Engineer,JOB-2026-00350,DevOps Engineer,Filled,6,10,17,6,2,2026-09-03,109000.00,Accepted,34,24,SUCCESSFUL
82,88,8520,803,2026-09-04,2026-10-25,Active,Data & Analytics,Java Developer,JOB-2026-00803,Java Developer,Filled,2,8,13,6,2,2026-08-30,113000.00,Accepted,39,51,SUCCESSFUL
104,25,6912,703,2026-09-04,2026-10-14,Active,Information Technology,Java Developer,JOB-2026-00703,Java Developer,Closed,6,4,13,17,4,2026-08-30,78000.00,Accepted,44,40,SUCCESSFUL
29,156,993,260,2026-09-04,2026-09-16,Active,Technology,Senior Java Developer,JOB-2026-00260,Senior Java Developer,Filled,7,10,17,8,4,2026-08-28,160000.00,Accepted,45,12,SUCCESSFUL
148,225,995,763,2026-09-03,2026-10-05,Active,Technology,AI Engineer,JOB-2026-00763,AI Engineer,Filled,7,21,17,11,4,2026-08-29,85000.00,Accepted,33,32,SUCCESSFUL
190,95,2775,755,2026-09-03,2026-10-09,Active,Technology,AI Engineer,JOB-2026-00755,AI Engineer,Open,7,3,17,4,1,2026-09-01,141000.00,Accepted,34,36,SUCCESSFUL
278,211,6958,731,2026-09-03,2026-10-16,Active,Technology,Business Analyst,JOB-2026-00731,Business Analyst,Closed,7,2,16,15,2,2026-08-29,127000.00,Accepted,48,43,SUCCESSFUL
14,7,5041,671,2026-09-02,2026-10-30,Active,Technology,AI Engineer,JOB-2026-00671,AI Engineer,Closed,7,4,15,4,2,2026-09-01,156000.00,Accepted,32,58,SUCCESSFUL
183,249,4062,931,2026-09-02,2026-10-13,Active,Technology,Data Analyst,JOB-2026-00931,Data Analyst,Closed,7,2,11,7,3,2026-08-30,159000.00,Accepted,33,41,SUCCESSFUL
201,72,7829,170,2026-09-02,2026-10-03,Active,Technology,Data Scientist,JOB-2026-00170,Data Scientist,Open,7,7,16,6,2,2026-09-01,143000.00,Accepted,34,31,SUCCESSFUL
233,222,1401,836,2026-09-02,,Fell Through,Information Technology,Java Developer,JOB-2026-00836,Java Developer,Open,6,3,12,2,4,2026-08-28,84000.00,Accepted,43,,UNSUCCESSFUL
206,233,7153,346,2026-09-02,2026-10-10,Completed Guarantee Period,Data & Analytics,Business Analyst,JOB-2026-00346,Business Analyst,Filled,2,1,15,15,1,2026-08-27,89000.00,Accepted,49,38,SUCCESSFUL
168,30,8009,317,2026-09-02,2026-09-12,Active,Information Technology,AI Engineer,JOB-2026-00317,AI Engineer,Filled,6,2,14,1,2,2026-08-27,129000.00,Accepted,52,10,SUCCESSFUL
127,424,6186,58,2026-09-01,,Fell Through,Technology,Java Developer,JOB-2026-00058,Java Developer,Open,7,22,14,13,4,2026-08-29,141000.00,Accepted,37,,UNSUCCESSFUL
176,138,8013,508,2026-09-01,2026-10-03,Active,Data & Analytics,ML Engineer,JOB-2026-00508,ML Engineer,Open,2,5,17,5,1,2026-08-27,61000.00,Accepted,47,32,SUCCESSFUL
100,66,5582,962,2026-08-31,2026-10-01,Completed Guarantee Period,Information Technology,Senior Data Analyst,JOB-2026-00962,Senior Data Analyst,Open,6,6,17,2,1,2026-08-24,103000.00,Accepted,31,31,SUCCESSFUL
161,504,9573,405,2026-08-31,2026-10-14,Active,Information Technology,Full Stack Developer,JOB-2026-00405,Full Stack Developer,Open,6,6,13,11,2,2026-08-25,77000.00,Accepted,34,44,SUCCESSFUL
269,189,2856,864,2026-08-31,2026-10-07,Completed Guarantee Period,Technology,Data Scientist,JOB-2026-00864,Data Scientist,Filled,7,4,16,21,3,2026-08-28,126000.00,Accepted,41,37,SUCCESSFUL
139,183,4217,58,2026-08-30,2026-10-21,Completed Guarantee Period,Technology,Java Developer,JOB-2026-00058,Java Developer,Open,7,22,14,13,4,2026-08-23,137000.00,Accepted,43,52,SUCCESSFUL
150,531,3373,430,2026-08-30,2026-09-25,Active,Data & Analytics,ML Engineer,JOB-2026-00430,ML Engineer,Filled,2,3,15,12,3,2026-08-23,163000.00,Accepted,44,26,SUCCESSFUL
276,433,9321,755,2026-08-29,2026-10-18,Completed Guarantee Period,Technology,AI Engineer,JOB-2026-00755,AI Engineer,Open,7,3,17,4,1,2026-08-27,100000.00,Accepted,28,50,SUCCESSFUL
255,105,5249,811,2026-08-28,2026-09-09,Active,Data & Analytics,Data Scientist,JOB-2026-00811,Data Scientist,Closed,2,21,12,6,4,2026-08-23,84000.00,Accepted,39,12,SUCCESSFUL
3,362,9760,84,2026-08-27,2026-09-16,Active,Data & Analytics,DevOps Engineer,JOB-2026-00084,DevOps Engineer,Open,2,22,11,1,4,2026-08-23,145000.00,Accepted,28,20,SUCCESSFUL
98,525,785,489,2026-08-27,2026-10-12,Active,Technology,ML Engineer,JOB-2026-00489,ML Engineer,Open,7,2,15,4,2,2026-08-20,137000.00,Accepted,35,46,SUCCESSFUL
216,538,1660,640,2026-08-27,2026-09-14,Active,Technology,AI Engineer,JOB-2026-00640,AI Engineer,Filled,7,4,13,19,1,2026-08-25,115000.00,Accepted,39,18,SUCCESSFUL
185,411,2227,881,2026-08-25,2026-09-21,Active,Information Technology,Senior Java Developer,JOB-2026-00881,Senior Java Developer,Open,6,22,14,15,1,2026-08-24,148000.00,Accepted,32,27,SUCCESSFUL
115,101,8581,224,2026-08-25,2026-09-20,Completed Guarantee Period,Data & Analytics,Java Developer,JOB-2026-00224,Java Developer,Open,2,23,13,9,3,2026-08-22,137000.00,Accepted,47,26,SUCCESSFUL
189,458,8025,806,2026-08-25,2026-09-05,Active,Data & Analytics,Business Analyst,JOB-2026-00806,Business Analyst,Open,2,23,14,12,1,2026-08-20,102000.00,Accepted,50,11,SUCCESSFUL
140,131,1016,396,2026-08-24,2026-10-13,Completed Guarantee Period,Information Technology,DevOps Engineer,JOB-2026-00396,DevOps Engineer,Open,6,21,11,20,4,2026-08-19,184000.00,Accepted,42,50,SUCCESSFUL
249,499,2319,148,2026-08-23,2026-09-14,Active,Information Technology,Java Developer,JOB-2026-00148,Java Developer,Open,6,6,15,15,4,2026-08-22,122000.00,Accepted,33,22,SUCCESSFUL
182,435,499,308,2026-08-22,2026-09-29,Active,Data & Analytics,Data Scientist,JOB-2026-00308,Data Scientist,Closed,2,8,14,18,3,2026-08-19,180000.00,Accepted,27,38,SUCCESSFUL
129,460,5198,298,2026-08-22,2026-10-08,Active,Data & Analytics,Business Analyst,JOB-2026-00298,Business Analyst,Open,2,10,12,17,1,2026-08-15,157000.00,Accepted,37,47,SUCCESSFUL
228,35,2590,63,2026-08-22,2026-10-13,Active,Data & Analytics,ML Engineer,JOB-2026-00063,ML Engineer,Closed,2,8,13,21,3,2026-08-16,77000.00,Accepted,42,52,SUCCESSFUL
15,376,6139,982,2026-08-22,2026-09-15,Active,Data & Analytics,Full Stack Developer,JOB-2026-00982,Full Stack Developer,Filled,2,9,11,13,2,2026-08-18,109000.00,Accepted,53,24,SUCCESSFUL
119,187,1297,439,2026-08-22,2026-10-05,Completed Guarantee Period,Information Technology,Full Stack Developer,JOB-2026-00439,Full Stack Developer,Filled,6,8,15,4,1,2026-08-15,187000.00,Accepted,66,44,SUCCESSFUL
132,214,5487,440,2026-08-21,,Fell Through,Data & Analytics,Data Scientist,JOB-2026-00440,Data Scientist,Filled,2,2,12,16,4,2026-08-16,185000.00,Accepted,49,,UNSUCCESSFUL
145,79,456,198,2026-08-20,2026-09-26,Active,Data & Analytics,AI Engineer,JOB-2026-00198,AI Engineer,Filled,2,1,12,12,4,2026-08-14,161000.00,Accepted,32,37,SUCCESSFUL
49,235,8,148,2026-08-19,2026-09-21,Active,Information Technology,Java Developer,JOB-2026-00148,Java Developer,Open,6,6,15,15,4,2026-08-15,164000.00,Accepted,28,33,SUCCESSFUL
2,562,6516,196,2026-08-19,2026-09-10,Active,Data & Analytics,Senior Java Developer,JOB-2026-00196,Senior Java Developer,Closed,2,6,12,19,3,2026-08-12,140000.00,Accepted,36,22,SUCCESSFUL
28,332,4091,534,2026-08-19,2026-09-02,Active,Technology,AI Engineer,JOB-2026-00534,AI Engineer,Open,7,1,16,5,3,2026-08-17,116000.00,Accepted,45,14,SUCCESSFUL
1,97,793,695,2026-08-18,2026-10-05,Completed Guarantee Period,Data & Analytics,Full Stack Developer,JOB-2026-00695,Full Stack Developer,Closed,2,6,15,15,3,2026-08-17,97000.00,Accepted,49,48,SUCCESSFUL
67,165,8088,499,2026-08-17,,Fell Through,Information Technology,DevOps Engineer,JOB-2026-00499,DevOps Engineer,Open,6,23,13,4,4,2026-08-16,106000.00,Accepted,42,,UNSUCCESSFUL
142,119,7746,248,2026-08-15,2026-10-05,Active,Technology,Java Developer,JOB-2026-00248,Java Developer,Open,7,6,16,5,4,2026-08-10,62000.00,Accepted,45,51,SUCCESSFUL
37,228,1668,546,2026-08-14,2026-08-27,Completed Guarantee Period,Information Technology,Senior Java Developer,JOB-2026-00546,Senior Java Developer,Filled,6,10,15,19,3,2026-08-10,187000.00,Accepted,40,13,SUCCESSFUL
274,108,8283,309,2026-08-12,2026-09-12,Completed Guarantee Period,Data & Analytics,Business Analyst,JOB-2026-00309,Business Analyst,Filled,2,6,14,3,2,2026-08-08,82000.00,Accepted,47,31,SUCCESSFUL
156,73,7967,757,2026-08-12,2026-09-05,Active,Technology,Data Analyst,JOB-2026-00757,Data Analyst,Open,7,21,12,15,3,2026-08-08,140000.00,Accepted,48,24,SUCCESSFUL
208,544,1467,962,2026-08-11,2026-09-07,Active,Information Technology,Senior Data Analyst,JOB-2026-00962,Senior Data Analyst,Open,6,6,17,2,1,2026-08-06,180000.00,Accepted,40,27,SUCCESSFUL
257,374,7610,314,2026-08-11,2026-09-11,Completed Guarantee Period,Information Technology,Data Scientist,JOB-2026-00314,Data Scientist,Filled,6,6,14,11,1,2026-08-05,189000.00,Accepted,43,31,SUCCESSFUL
280,4,6491,541,2026-08-11,2026-10-02,Completed Guarantee Period,Information Technology,Senior Java Developer,JOB-2026-00541,Senior Java Developer,Closed,6,23,14,11,4,2026-08-05,149000.00,Accepted,45,52,SUCCESSFUL
271,319,2375,957,2026-08-11,2026-08-31,Completed Guarantee Period,Data & Analytics,DevOps Engineer,JOB-2026-00957,DevOps Engineer,Closed,2,10,16,16,2,2026-08-08,157000.00,Accepted,46,20,SUCCESSFUL
19,360,7066,884,2026-08-10,2026-09-20,Active,Technology,Senior Java Developer,JOB-2026-00884,Senior Java Developer,Filled,7,9,17,7,2,2026-08-04,154000.00,Accepted,40,41,SUCCESSFUL
20,241,7104,545,2026-08-09,2026-09-10,Active,Information Technology,ML Engineer,JOB-2026-00545,ML Engineer,Closed,6,6,17,13,4,2026-08-04,150000.00,Accepted,51,32,SUCCESSFUL
95,474,1610,724,2026-08-08,2026-09-24,Active,Data & Analytics,Senior Data Analyst,JOB-2026-00724,Senior Data Analyst,Closed,2,1,14,12,1,2026-08-02,145000.00,Accepted,32,47,SUCCESSFUL
186,400,1725,725,2026-08-08,2026-09-27,Active,Information Technology,Business Analyst,JOB-2026-00725,Business Analyst,Filled,6,5,17,5,4,2026-08-07,108000.00,Accepted,42,50,SUCCESSFUL
192,84,5524,752,2026-08-07,2026-10-02,Active,Technology,ML Engineer,JOB-2026-00752,ML Engineer,Filled,7,1,11,4,2,2026-08-03,105000.00,Accepted,35,56,SUCCESSFUL
260,401,7194,772,2026-08-06,2026-09-04,Active,Technology,Senior Data Analyst,JOB-2026-00772,Senior Data Analyst,Closed,7,10,12,6,4,2026-08-04,186000.00,Accepted,54,29,SUCCESSFUL
60,345,7329,751,2026-08-05,2026-09-03,Active,Data & Analytics,DevOps Engineer,JOB-2026-00751,DevOps Engineer,Open,2,21,17,2,2,2026-08-03,186000.00,Accepted,37,29,SUCCESSFUL
170,258,4299,408,2026-08-05,2026-09-08,Active,Data & Analytics,Data Analyst,JOB-2026-00408,Data Analyst,Open,2,9,14,4,4,2026-07-30,158000.00,Accepted,48,34,SUCCESSFUL
4,60,7850,627,2026-08-04,,Fell Through,Technology,Full Stack Developer,JOB-2026-00627,Full Stack Developer,Open,7,1,15,21,3,2026-07-29,105000.00,Accepted,24,,UNSUCCESSFUL
42,470,9046,138,2026-08-04,2026-09-18,Active,Technology,Full Stack Developer,JOB-2026-00138,Full Stack Developer,Filled,7,5,17,7,1,2026-07-30,159000.00,Accepted,52,45,SUCCESSFUL
204,557,3563,209,2026-08-03,2026-08-20,Active,Technology,AI Engineer,JOB-2026-00209,AI Engineer,Open,7,10,12,11,2,2026-07-29,174000.00,Accepted,40,17,SUCCESSFUL
286,321,8782,410,2026-08-02,,Fell Through,Technology,Data Scientist,JOB-2026-00410,Data Scientist,Filled,7,21,11,11,4,2026-07-26,178000.00,Accepted,43,,UNSUCCESSFUL
155,86,9399,762,2026-08-01,2026-08-18,Active,Technology,AI Engineer,JOB-2026-00762,AI Engineer,Closed,7,6,15,9,4,2026-07-30,84000.00,Accepted,50,17,SUCCESSFUL
147,512,5032,859,2026-07-30,,Fell Through,Information Technology,Full Stack Developer,JOB-2026-00859,Full Stack Developer,Closed,6,23,14,6,3,2026-07-23,117000.00,Accepted,43,,UNSUCCESSFUL
117,8,305,659,2026-07-29,2026-08-30,Active,Information Technology,ML Engineer,JOB-2026-00659,ML Engineer,Open,6,23,13,11,3,2026-07-25,160000.00,Accepted,39,32,SUCCESSFUL
224,23,8326,206,2026-07-28,2026-08-16,Active,Data & Analytics,DevOps Engineer,JOB-2026-00206,DevOps Engineer,Open,2,1,13,1,2,2026-07-25,104000.00,Accepted,56,19,SUCCESSFUL
39,146,1348,509,2026-07-27,2026-09-12,Active,Information Technology,Data Scientist,JOB-2026-00509,Data Scientist,Open,6,6,13,4,4,2026-07-22,117000.00,Accepted,35,47,SUCCESSFUL
220,242,41,787,2026-07-26,2026-08-28,Completed Guarantee Period,Information Technology,Data Scientist,JOB-2026-00787,Data Scientist,Closed,6,21,16,14,4,2026-07-20,179000.00,Accepted,47,33,SUCCESSFUL
22,229,5395,386,2026-07-26,2026-08-06,Active,Data & Analytics,Senior Data Analyst,JOB-2026-00386,Senior Data Analyst,Open,2,21,15,17,2,2026-07-20,134000.00,Accepted,52,11,SUCCESSFUL
265,191,7304,811,2026-07-24,2026-08-19,Active,Data & Analytics,Data Scientist,JOB-2026-00811,Data Scientist,Closed,2,21,12,6,4,2026-07-19,150000.00,Accepted,46,26,SUCCESSFUL
128,273,7474,246,2026-07-23,2026-09-17,Active,Information Technology,Data Scientist,JOB-2026-00246,Data Scientist,Closed,6,7,17,20,3,2026-07-20,75000.00,Accepted,42,56,SUCCESSFUL
149,81,7681,736,2026-07-23,2026-09-01,Active,Information Technology,Java Developer,JOB-2026-00736,Java Developer,Filled,6,3,16,5,1,2026-07-18,92000.00,Accepted,52,40,SUCCESSFUL
180,121,7683,930,2026-07-21,2026-08-30,Active,Information Technology,Java Developer,JOB-2026-00930,Java Developer,Filled,6,8,14,8,3,2026-07-19,149000.00,Accepted,39,40,SUCCESSFUL
273,167,2805,955,2026-07-20,2026-08-02,Active,Technology,AI Engineer,JOB-2026-00955,AI Engineer,Filled,7,8,15,21,4,2026-07-19,121000.00,Accepted,48,13,SUCCESSFUL
254,306,6958,575,2026-07-19,2026-09-04,Active,Data & Analytics,Java Developer,JOB-2026-00575,Java Developer,Open,2,8,14,12,1,2026-07-17,101000.00,Accepted,54,47,SUCCESSFUL
69,343,6900,442,2026-07-18,2026-09-10,Active,Technology,Senior Data Analyst,JOB-2026-00442,Senior Data Analyst,Open,7,5,15,3,1,2026-07-16,84000.00,Accepted,34,54,SUCCESSFUL
152,373,2774,551,2026-07-17,2026-08-27,Active,Information Technology,Senior Data Analyst,JOB-2026-00551,Senior Data Analyst,Filled,6,3,17,20,1,2026-07-14,60000.00,Accepted,43,41,SUCCESSFUL
56,177,7585,295,2026-07-17,2026-08-31,Active,Data & Analytics,Senior Data Analyst,JOB-2026-00295,Senior Data Analyst,Closed,2,22,17,8,3,2026-07-10,135000.00,Accepted,53,45,SUCCESSFUL
12,143,9264,88,2026-07-16,2026-08-04,Active,Information Technology,Business Analyst,JOB-2026-00088,Business Analyst,Closed,6,5,17,19,3,2026-07-15,117000.00,Accepted,28,19,SUCCESSFUL
84,62,5431,748,2026-07-14,2026-08-21,Active,Information Technology,Data Analyst,JOB-2026-00748,Data Analyst,Open,6,7,12,18,2,2026-07-13,110000.00,Accepted,37,38,SUCCESSFUL
283,24,8536,629,2026-07-13,2026-08-22,Active,Information Technology,Data Scientist,JOB-2026-00629,Data Scientist,Filled,6,6,11,20,1,2026-07-11,154000.00,Accepted,31,40,SUCCESSFUL
217,399,606,492,2026-07-13,,Fell Through,Data & Analytics,Data Scientist,JOB-2026-00492,Data Scientist,Filled,2,6,13,3,2,2026-07-09,106000.00,Accepted,32,,UNSUCCESSFUL
177,493,969,551,2026-07-13,2026-09-05,Active,Information Technology,Senior Data Analyst,JOB-2026-00551,Senior Data Analyst,Filled,6,3,17,20,1,2026-07-11,111000.00,Accepted,36,54,SUCCESSFUL
143,423,1393,361,2026-07-12,2026-08-11,Active,Technology,Data Analyst,JOB-2026-00361,Data Analyst,Closed,7,2,17,11,3,2026-07-09,99000.00,Accepted,28,30,SUCCESSFUL
27,178,5922,746,2026-07-12,2026-07-20,Completed Guarantee Period,Technology,ML Engineer,JOB-2026-00746,ML Engineer,Open,7,8,13,12,1,2026-07-05,126000.00,Accepted,47,8,SUCCESSFUL
218,218,3867,206,2026-07-11,2026-08-10,Active,Data & Analytics,DevOps Engineer,JOB-2026-00206,DevOps Engineer,Open,2,1,13,1,2,2026-07-08,80000.00,Accepted,30,30,SUCCESSFUL
91,251,7069,40,2026-07-11,,Fell Through,Data & Analytics,Senior Data Analyst,JOB-2026-00040,Senior Data Analyst,Closed,2,21,17,5,4,2026-07-06,130000.00,Accepted,32,,UNSUCCESSFUL
50,2,19,671,2026-07-11,2026-08-09,Active,Technology,AI Engineer,JOB-2026-00671,AI Engineer,Closed,7,4,15,4,2,2026-07-08,157000.00,Accepted,42,29,SUCCESSFUL
40,384,2862,575,2026-07-10,2026-07-25,Active,Data & Analytics,Java Developer,JOB-2026-00575,Java Developer,Open,2,8,14,12,1,2026-07-07,140000.00,Accepted,22,15,SUCCESSFUL
279,326,8860,384,2026-07-10,,Fell Through,Technology,Java Developer,JOB-2026-00384,Java Developer,Closed,7,8,16,13,2,2026-07-07,180000.00,Accepted,40,,UNSUCCESSFUL
214,27,9824,444,2026-07-08,2026-08-16,Active,Technology,Data Scientist,JOB-2026-00444,Data Scientist,Open,7,7,14,19,1,2026-07-03,110000.00,Accepted,29,39,SUCCESSFUL
121,447,8247,804,2026-07-08,2026-08-07,Active,Technology,Data Analyst,JOB-2026-00804,Data Analyst,Filled,7,23,12,17,4,2026-07-07,183000.00,Accepted,54,30,SUCCESSFUL
23,536,9283,457,2026-07-07,2026-08-31,Active,Technology,Senior Java Developer,JOB-2026-00457,Senior Java Developer,Filled,7,6,15,16,4,2026-07-05,124000.00,Accepted,40,55,SUCCESSFUL
34,96,4840,608,2026-07-06,2026-08-15,Active,Data & Analytics,Java Developer,JOB-2026-00608,Java Developer,Open,2,8,15,5,4,2026-07-05,157000.00,Accepted,50,40,SUCCESSFUL
207,127,266,772,2026-07-05,2026-08-05,Active,Technology,Senior Data Analyst,JOB-2026-00772,Senior Data Analyst,Closed,7,10,12,6,4,2026-07-02,173000.00,Accepted,31,31,SUCCESSFUL
46,564,7707,181,2026-07-03,,Fell Through,Data & Analytics,Full Stack Developer,JOB-2026-00181,Full Stack Developer,Filled,2,6,17,18,1,2026-06-28,171000.00,Accepted,47,,UNSUCCESSFUL
197,436,3690,811,2026-07-02,2026-08-25,Active,Data & Analytics,Data Scientist,JOB-2026-00811,Data Scientist,Closed,2,21,12,6,4,2026-06-30,150000.00,Accepted,32,54,SUCCESSFUL
125,393,7992,187,2026-07-02,2026-07-29,Active,Data & Analytics,AI Engineer,JOB-2026-00187,AI Engineer,Closed,2,6,17,8,2,2026-06-29,159000.00,Accepted,35,27,SUCCESSFUL
114,366,2939,344,2026-07-01,2026-08-09,Active,Information Technology,Full Stack Developer,JOB-2026-00344,Full Stack Developer,Closed,6,8,14,6,2,2026-06-25,146000.00,Accepted,40,39,SUCCESSFUL
199,297,7268,605,2026-07-01,2026-08-03,Active,Data & Analytics,Senior Java Developer,JOB-2026-00605,Senior Java Developer,Filled,2,6,11,11,4,2026-06-27,148000.00,Accepted,46,33,SUCCESSFUL
92,68,4080,567,2026-06-29,2026-07-15,Active,Information Technology,Business Analyst,JOB-2026-00567,Business Analyst,Filled,6,7,16,17,1,2026-06-28,157000.00,Accepted,39,16,SUCCESSFUL
259,151,2885,558,2026-06-29,2026-08-09,Active,Data & Analytics,Data Analyst,JOB-2026-00558,Data Analyst,Closed,2,10,11,5,1,2026-06-23,117000.00,Accepted,42,41,SUCCESSFUL
